y,ds
10159.96,2019-08-24
10407.97,2019-08-23
10131.06,2019-08-22
10138.05,2019-08-21
10763.23,2019-08-20
10916.05,2019-08-19
10345.81,2019-08-18
10231.74,2019-08-17
10374.34,2019-08-16
10311.55,2019-08-15
10051.7,2019-08-14
10895.83,2019-08-13
11382.62,2019-08-12
11523.58,2019-08-11
11354.02,2019-08-10
11862.94,2019-08-09
11966.41,2019-08-08
11941.97,2019-08-07
11478.17,2019-08-06
11805.65,2019-08-05
10970.18,2019-08-04
10821.73,2019-08-03
10518.17,2019-08-02
10399.67,2019-08-01
10085.63,2019-07-31
9607.42,2019-07-30
9519.15,2019-07-29
9552.86,2019-07-28
9477.68,2019-07-27
9870.3,2019-07-26
9911.84,2019-07-25
9811.93,2019-07-24
9900.77,2019-07-23
10343.11,2019-07-22
10599.11,2019-07-21
10767.14,2019-07-20
10530.73,2019-07-19
10666.48,2019-07-18
9693.8,2019-07-17
9477.64,2019-07-16
10895.09,2019-07-15
10256.06,2019-07-14
11392.38,2019-07-13
11815.99,2019-07-12
11358.66,2019-07-11
12156.51,2019-07-10
12573.81,2019-07-09
12285.96,2019-07-08
11450.85,2019-07-07
11208.55,2019-07-06
10978.46,2019-07-05
11215.44,2019-07-04
11961.27,2019-07-03
10801.68,2019-07-02
10583.13,2019-07-01
10817.16,2019-06-30
11959.37,2019-06-29
12407.33,2019-06-28
11182.81,2019-06-27
13016.23,2019-06-26
11790.92,2019-06-25
11011.1,2019-06-24
10855.37,2019-06-23
10701.69,2019-06-22
10144.56,2019-06-21
9527.16,2019-06-20
9273.52,2019-06-19
9081.76,2019-06-18
9320.35,2019-06-17
8994.49,2019-06-16
8838.38,2019-06-15
8693.83,2019-06-14
8230.92,2019-06-13
8145.86,2019-06-12
7927.71,2019-06-11
8000.33,2019-06-10
7688.08,2019-06-09
7954.13,2019-06-08
8043.95,2019-06-07
7822.02,2019-06-06
7824.23,2019-06-05
7707.77,2019-06-04
8208.99,2019-06-03
8742.96,2019-06-02
8564.02,2019-06-01
8574.5,2019-05-31
8319.47,2019-05-30
8659.49,2019-05-29
8719.96,2019-05-28
8805.78,2019-05-27
8673.22,2019-05-26
8052.54,2019-05-25
7987.37,2019-05-24
7881.85,2019-05-23
7680.07,2019-05-22
7963.33,2019-05-21
7978.31,2019-05-20
8197.69,2019-05-19
7271.21,2019-05-18
7343.9,2019-05-17
